DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Antiphospholipid Syndrome,Thrombi within veins and arteries with minimal to mild associated inflammation. Marked dermal edema along with hemorrhage may be noted. Endothelial cells appear swollen and disrupted with pyknotic nuclei. Late lesions show organizing thrombi and vascular proliferation.,Thrombotic Thrombocytopenic Purpura,Disseminated Intravascular Coagulation,Lupus Erythematosus,"Cryoglobulinemai, Type 1"
Aplasia Cutis Congenita,Absent epidermis or thinned epidermis-few cells layers. Thinned dermis and subcutaneous fat with loosely arranged connective tissue. Decreased collagen and elastic fibers. Absent or rudimentary adnexal structures.,Focal Dermal Hypoplasia,Epidermolysis Bullosa,Heterotopic Glial Tissue,Dermoid Cyst
Apocrine Carcinoma,"Poorly circumscribed tumor composed of tubular, micronodular and solid proliferations of cells with abundant eosinophilic cytoplasm, large round to oval vesicular nuclei and prominent nucleoli. Decapitate secretions in form of apical snouts within the lumen. Variable cytologic atypia, mitosis common. PAS positive intracytoplasmic granules present.",Breast Adenocarcinoma,Tubular Apocrine Adenoma,Hidradenoma Papilliferum,Syringocystadenoma Papilliferum
Apocrine Chromhidrosis,Orange-brown cytoplasmic granules in apical location within the apocrine glands.,Milium,Epidermal Inclusion Cyst,Post Inflammatory Pigment Alteration,
Apocrine Hidrocystoma,Unilocular  or multilocular cystic cavity lined by two layers of epithelial cells. Decapitate secretions in lumen.,Eccrine Hidrocystoma,Tubular Apocrine Adenoma,Epidermal Inclusion Cyst,Tubular Eccrine Adenoma
Apocrine Nevus,Increased mature apocrine glands in mid to deep dermis in a vaguely nodular configuration.,Eccrine Nevus,Apocrine Hidrocystoma,Tubular Apocrine Adenoma,
Argyria,"Tiny, black refractile particles in basement membrane of sweat glands. May also be seen around hair follicles, blood vessels or elastic fibers.",Hemochromatosis,Antimalarials,Imipramine,
Arsenical Keratosis,Epidermal acanthosis with hyperkeratosis. Cytologic atypia of keratinocytes which may vary from mild to full thickness atypia. Variable perivascular lymphocytic infiltrate.,Actinic Keratosis,Verruca Vulgaris,Squamous Cell Carcinoma,Solar Elatosis
Arteriovenous Hemangioma,Well circumscribed proliferation of thick and thin vessels. Some vessels have muscular walls.,Cavernous Hemangioma,Cavernous Hemangioma,Cherry Hemangioma,Cavernous Lymphangioma
Arthropod Bite,Wedge-shaped perivascular and interstitial inflammation with prominent eosinophils. ,Drug Eruption,Prodormal Bullous Pempighoid,Lymphomatoid Papulosis,Pityriasis Lichenoides Et Varioloformis Acuta
Ash Leaf Spots Of Tuberous Sclerosis,Decreased melanin pigment in basal layer. Reduced size and shape of melanosomes on electron microscopy.,Piebaldism,Vitiligo,Hypomelanosis Of Ito,Post Inflammatory Pigment Alteration
Aspergillus,"Diffuse, mixed infiltrate of neutrophils, lymphocytes, histiocytes and multinucleated giant cells. Narrow, septate hyphae with acute angle branching. background of necrosis with foci of vessel invasion.",Fusarium,Rhizopus,Mucor,
Atherosclerosis,Calcifications within walls of muscular arteries. ,Calcinosis Cutis,Calciphylaxis,Buerger's Disease,
Atrophic Actinic Keratosis,"Epidermis is thin and shows loss or rete ridge pattern. Atpyia (crowding, hyperchromatism, pleomorphism) of basal layer.",Large Cell Acanthoma,Superficial Basal Carcinoma,Atrophic Lichen Planus,Erythema Dyschromicum Perstans
Atrophic Lichen Planus,Lichenoid inflammation at DEJ with overlying epidermal atrophy. Scattered civatte bodies may be seen.,Lupus Erythematosus,Lichenoid Drug Eruption,Erythema Dyschromicum Perstans,
Atrophie Blanche,Also known as Livedo vasculitis. Atrophic or ulcerated epidermis. Thrombi in dermal vessels surrounded by hyalinization of walls. Dermal fibrosis and extravasated RBC.,Stasis Dermatitis,Dego's Disease,"Cryoglobulenemia, Type 1",
Atrophoderma Of Passini And  Pierini,"Epidermal depression with thinned dermis. Occasionally, hyalinized dermis with edematous collagen bundles.  Mild perivascular infiltrate of lymphocytes, macrophages and plasma cells.",Morphea,Scleroderma,Connective Tissue Nevus,
Atypical Fibroxanthoma,"Cellular expansile spindle  cell proliferation in superficial dermis in a storiform pattern. Significant atypia with bizarre multinucleated and pleomorphic forms. Atypical mitosis frequent. Background of solar elastosis. S100, Pancytokeratin negative.  Some are dedifferentiated SCCs, some are superficial undifferentiated pleomorphic sarcomas.",Spindle Cell Squamous Cell Carcinoma,Spindle Cell Melanoma,Leiomyosarcoma,Angiosarcoma
Atypical Lipomatous Tumor,"Ill-defined tumor composed of mature lipocytes with variation is size and shape.  Scattered atypical cells with pleomorphism, hyperchromatic nuclei. Rare lipoblasts.",Well Differentiate Liposarcoma,Pleomorphic Lipoma,Spindle Cell Lipoma,
Atypical Mycobacterium Infection,"Epidermal acanthosis, overlying ulceration and sometimes surrounding pseudoepitheliomatous hyperplasia. Suppurative and granulomatous inflammation with/without caseation necrosis. Rare AFB positive bacilli may be seen.",Cutaneous Tuberculosis,Crohn's Disease,Deep Fungal Infection,Halogenoderma
Atypical Post Radiation Vascular Lesion,"Relatively well circumscribed lesion in dermis. Anastomosing pattern of vessels with hyperchromatic endothelial cells. Absence of severe cytologic atypia, mitotic activity, multilayering of endothelial cells and infiltration into subcutaneous fat.  ",Angiosarcoma,Cavernous Hemangioma,Radiation Dermatitis,
Atypical Spitz Tumor,Poorly circumscribed asymmetrical lesion of spindled and epithelioid cells with variable cytological atypia. Lack of orderly maturation of dermal component. Presence of deep mitosis. Increased cellularity with host response in form of scattered lymphocytes. Pigment deposits in deeper aspect of lesion.,Spitz Nevus,Spitzoid Melanoma,Reticulohistiocytoma,Cellular Neurothekeoma
Axillary Granular Parakeratosis,Moderate to markedly thickened compact stratum corneum with confluent parakeratosis. Retention of keratohyaline granules in stratum corneum. Minimal superficial perivascular lymphocytic infiltrate.,Psoriasis,Subacute-Chronic Eczematous Dermatitis,Verruca Vulgaris,Lichen Simplex Chronicus
Bacillary Angiomatosis,Lobular blood vessel proliferation with plump endothelial  cells in a background of pale edematous stroma. Admixed neutrophilic infiltrate. Scattered smudgy amphophilc areas containing Bartonella bacilli in clusters within the proliferation.,Kaposi Sarcoma,Verruga Peruana,Pyogenic Granuloma,Diffuse Dermal Angiomatosis
Bacterial Folliculitis,Superficial and/or deep suppurative folliculitis. Usually related to Gram positive cocci.,Fungal Folliculitis,Pseudomonas Folliculitis,Suppurative Folliculitis,Pityrosporum Folliculitis
Balloon Cell Nevus,"Greater than 50% balloon cells-large melanocytes with pale staining clear cytoplasm, low nuclear-cytoplasmic ratio. Ballooning a degenerative feature-on EM swelling of cellular organelles is noted.",Compound Nevus,Balloon Cell Type Melanoma,Intradermal Nevus,
Balloon Cell Type Melanoma,Melanocytes with vacuolated and clear cytoplasm. Striking cellular and nuclear atypia.,Balloon Cell Nevus,Epithelioid Blue Nevus,Sebaceous Carcinoma,
Barnyard Pox,Epidermal necrosis and reticular degeneration. Dermal edema. Cytoplasmic and nuclear inclusions. Perivascular lymphocytic infiltrate.,Hand Foot And Mouth Disease,Orf,Herpes,
Basal Cell Carcinoma Of Nail,"Superficial, nodular or infiltrative patterns may be seen. Usually pigmented.",Squamous Cell Carcinoma Of Nail,Onycholemmal Cyst,Glomus Tumor,
Basaloid Follicular Hamartoma,"Anastomosing cords and strands of cytologically bland basaloid cells attached to epidermis or hair follicle. No apoptotic bodies, mitosis, clefting or mucinous stroma. Papillary mesenchymal bodies may be seen.",Trichoepithelioma,Superficial Basal Carcinoma,Reticulated Seborrheic Keratosis,Fibroepithelioma Of Pinkus
Becker Nevus,Basal layer hyperpigmentation with elongated rete ridges. Smooth muscle proliferation in dermis.,Smooth Muscle Hamartoma,Blue Nevus,Epidermal Nevus,Confluent And Reticulated Papillomatosis
Behcet's Disease,"Septo-lobular panniculitis with perivascular neutrophilic and lymphocytic infiltration and associated vasculitis.  Changes of neutrophilic dermatosis and abscess formation in dermis, sometimes with ulceration. ",Sweet's Syndrome,Pustular Psoriasis,Rheumatoid Neutrophilic Dermatosis,Pyoderma Gangrenosum
Benign Cephalic Histiocytosis,"Diffuse histiocytic infiltrate with sparse lymphocytes and eosinophils in upper dermis. Occasional multinucleated giant cells may be seen. Histiocytes negative for CD1a, S100. Positive for macrophage markers.",Rosai-Dorfman Disease,Generalized Eruptive Histiocytosis,Xanthoma Disseminatum,Xanthogranuloma
Benign Lichenoid Keratosis,"Single lesion. Compact hyperkeratosis, wedge shaped hypergranulosis with or without parakeratosis. Lichenoid inflammation at DEJ. Changes of seborrheic keratosis or solar lentigo at periphery.",Lichen Planus,Lichenoid Drug Eruption,Lichenoid Actinic Keratosis,Superficial Spreading Melanoma In Situ
Bladder Adenocarcinoma,"Glandular elements in dermis with atypical cells; staining  with CK7 , CK20 and Thrombomodulin.",Pancreatic Adenocarcinoma,Upper Gastrointestinal Adenocarcinoma,Metastatic Adnexal Neoplasm,Ovarian Endocarcinoma
Blastic Plasmacytoid Dendritic Cell Neoplasm,"Monomorphic interstitial infiltrate in dermis and subcutis. Nucleus show fine open chromatin (like blast cells). Extravasated red blood cells common. No epidermal involvement. No necrosis or angiocentricity. Gene rearrangement studies negative. CD4, CD56, CD123 +, Cytotoxic phenotype -. CD3-, MPO and CD68 usually neg, TdT and CD34 + in some cases. DDX:  Myeloid leukemia.",NK-T Cell Lymphoma,Lymphomatoid Granulomatosis,Angioimmunoblastic T Cell Lymphoma,Plasmablastic Lymphoma
Blastoid Mantle Cell Lymphoma,"Mantle cell with large cells showing minimal cytoplasm, large nuclei with open chromatin pattern and small nucleoli (blast like cells).",Precursor B Lymphoblastic Lymphoma,Burkitt Lymphoma,Merkel Cell Carcinoma,Acute Monocytic Leukemia
Blastomycosis,Background of granulomatous dermatitis. Overlying pseudoepithelimatous hyperplasia with intraepidermal pustules. Uniform shaped organisms(5-15 microns in diameter) with thick refractile walls and broad based budding. Organisms seen both extracellularly and within giant cells.,Halogenoderma,Coccidioidomycosis,Paracoccidioidomycosis,Chromoblastomycosis
Blue Nevus,"Well circumscribed, dendritic pigmented spindled melanocytes lesion in dermis with admixed melanophages and variable pigment. Dermal sclerosis common. Spindle cells strongly positive with HMB45.",Nevus Of Ito,Desmoplastic Spitz Nevus,Dermatofibroma,Desmoplastic Melanoma
Borderline Leprosy,Scattered epithelioid cells without the formation of well-defined granulomas. Occasional vague collections around neurovascular bundles. Mild perivascular lymphocytic infiltrate. Few Fite positive bacilli may be seen.,Secondary Syphilis,Crohn's Disease,Cutaneous Tuberculosis,Atypical Mycobacterial Infection
Borrelial Lymphocytoma,"Dense nodular and diffuse lymphoid infiltrate with variable admixture of eosnophils, plasma cells and large immunoblasts. May show germinal centers.",Arthropod Bite,Reactive Lymphoid Infiltrate,Atypical Mycobacterial Infection,Chronic Lymphocytic Leukemia
Botryomycosis,Neutrophilic abscesses around granules with Splendor-Hoeppli phenomenon. Granules composed of Gram positive or negative rods or cocci without branching filaments.,Eumycetoma,Actinomycetoma,Majocchi's Granuloma,
Botyroid Rhabdomyosarcoma,Embryonal rhabdomyosarcoma in small children. Neoplastic cells are usually in close approximation to surface epithelium-producing a cambium layer.,Granular Cell Tumor,Ganglioneuroma,Neuroblastoma,
Bovine Collagen,"Palisaded granulomas or a more diffuse granulomatous inflammation may be seen. Bovine collagen is non-polarizable, but is seen easily on H&E as large pale structures with irregular shapes.",Gel Foam,Monsel Solution ,Aluminum Chloride,
Bowel-Associated Dermatitis Arthritis Syndrome,Diffuse dermal neutrophilic infiltrate with/without karyorrhexis. True vasculitis may be present focally.,Sweet's Syndrome,Crohn's Disease,Rheumatoid Neutrophilic Dermatosis,
Bowenoid Actinic Keratosis,Impaired maturation and atypia involving almost the full epidermal thickness. Follicular sparing is noted.,Bowenoid Papulosis,Squamous Cell Carcinoma,Condyloma Acuminatum,
Bowenoid Papulosis,Acanthotic epidermis with full thickness atypia of keratinocytes. Atypical keratinocytes may involve entire epidermis or show scattered cells throughout the epidermis.,Bowen's Disease,Condyloma Acuminatum,Seborrheic Keratosis,
Bowen's Disease,Full-thickness atypia of epidermis. Increased mitotic figures with atypical forms. Hyperkeratosis with confluent parakeratosis.,Bowenoid Papulosis,Bowenoid Actinic Keratosis,Lentigo Maligna,Erythroplasia Of Queyrat
Breast Adenocarcinoma,"Glandular elements or single cell proliferation in dermis with atypia. Positive for CK7, GCDFP, ER, PR. Negative for CK20.",Apocrine Carcinoma,Acute Myelomonocytic Leukemia,Syringoid Eccrine Carcinoma,Lung Adenocarcinoma
Bronchogenic Cyst,Unilocular cyst lined by ciliated pseudostratified columnar epithelium with or without goblet cells. Smooth muscle common in cyst wall. Occasionally lymphoid follicles and cartilage as well.,Branchial Cleft Cyst,Thymic Cyst,Epidermal Inclusion Cyst,
Bubble Hair,"Large, irregular shaped bubbles within hair shaft.",Trichorrhexis Nodosa,Monilethrix,Trichitillomania,
Buerger's Disease,"Thrombosis of small or medium sized arteries and occasionally veins. Variable infiltrate of neutrophils, lymphocytes, histiocytes and giant cells present in association with thrombosed vessel. Abscess formation in walls of vessels.  Internal elastic lamina is characteristically preserved.",Polyarteritis Nodosa,Churg-Strauss Syndrome,Lipodermatosclerosis,Lupus Panniculitis
Bullous Arthropod Bite,Subepidermal bulla. Wedge-shaped perivascular and interstitial inflammation with prominent eosinophils. ,Bullous Lupus Eryhtematosus,Bullous Drug Eruption,Bullous Pemphigoid,
Bullous Dermatophytosis,"Subcorneal bulla. Spongiotic and /or psoriasiform hyperplasia with occasional subcorneal pustules. Mild to moderate perivascular mixed inflammatory infiltrate, often with neutrophils. Hyphae in stratum corneum, highlighted by PAS.",Bullous Impetigo,Pemphigus Foliaceus,IgA Pemphigus,Herpes
Bullous Diabeticorum,"Subcorneal, intraepidermal or subepidermal bulla with mild inflammation. The epidermis forming roof of the blister may be necrotic. DIF-negative.",Epidermodysplasia Bullosa Acquisita,Cell Poor Bullous Pemphigoid,Porphyria Cutaneous Tarda,
Bullous Drug Eruption,Subepidermal blister with associated perivascular and interstitial mixed infiltrate. Admixed eosinophils. DIF-negative.,Bullous Arthropod Bite,Bullous Pemphigoid,Bullous Lupus Erythematosus,
Bullous Impetigo,Subcorneal bulla with few neutrophils and rare acantholytic cells. Gram positive cocci may be seen within the bulla.,Staphylococcal Scalded Skin Syndrome,Pemphigus Foliaceus,Dermatophytosis,Herpes
Bullous Leukocytoclastic Vasculitis,"Subepidermal bulla. Perivascular mixed infiltrate with neutrophils, lymphocytes and eosinophils. Nuclear dust and red cell extravasation. Fibrin in vessel walls. DIF-Early lesions show perivascular IgG, IgM and/or C3 deposits.",Bullous Arthropod Bite,Bullous Drug Eruption,Wegener's Granulomatosis,Sweet's Syndrome
Bullous Lichen Planus,Changes of lichen planus with associated subepidermal bulla.,Paraneoplastic Pemphigus ,Toxic Epidermal Necrolysis,Fixed Drug Eruption,
Bullous Lupus Erythematosus,"Supepidermal bulla with interface changes in intact areas. Neutrophils along DEJ. Perivascular and periadnexal infiltrate with increased mucin. DIF- Linear and/or granular deposits of IgG and/or IgA, IgM and C3 at DEJ.",Linear IgA Bullous Dermatosis,Epidermolysis Bullosa Acquisita,Dermatitis Herpetiformis,Bullous Drug Eruption
Bullous Mastocytosis,"Diffuse perivascular infiltrate of mononuclear cells. Cells are round-oval with amphophilic cytoplasm and centrally placed nuclei (fried-egg appearance). Positive with Tryptase, Giemsa, Toluidine blue.",Bullous Arthropod Bite,Bullous Drug Eruption,Reactive Lymphoid Infiltrate,
Bullous Pemphigoid,Supepidermal bulla containing eosinophils with admixed lymphocytes and neutrophils. Superficial perivascular and interstitial lymphocytic infiltrate with eosinophils. DIF-IgG and C3 at DEJ.,Linear IgA Bullous Dermatosis,Pemphigus Vulgaris,Dermatitis Herpetiformis,Epidermolysis Bullosa Acquisita
Burkitt Lymphoma,"Monomorphous, diffuse lymphoid infiltrate of intermediate sized lymphocytes with round, vesicular nuclei, multiple nucleoli and moderate amount of basophilic cytoplasm. Lipid filled vacuoles in cytoplasm, admixed macrophages phagocytizing necrotic tumor cell debris producing a starry sky pattern. CD19, CD20, CD79a, CD10 +, CD5, CD23, bcl2, TdT -. ",Blastoid Mantle Cell Lymphoma,Precursor B Lymphoblastic Lymphoma,NK-T Cell Lymphoma,Merkel Cell Carcinoma
Calcifying Aponeurotic Fibroma,Proliferation of spindled or epithelioid fibroblasts which tend to palisade around areas of calcification in a dense collagenous background.,Fibroosseous Pseudo-Tumor Of Digits,Calcinosis Cutis,Fibroma Of Tendon Sheath,Chondroma
Calcinosis Cutis,Deeply basophilic  brittle deposits in dermis. Occasionally surrounded by foreign body reaction. Positive for Von Kossa and Alizarin Red.,Pancreatic Panniculitis,Cutaneous Oxalosis,Factitial Panniculitis,iInfective Panniculitis
Calciphylaxis,Mural calcification and intimal proliferation within small vessels of deep dermis and subcutaneous fat with variable fibrin thrombi. Lobular panniculitis with fat necrosis and dermal necrosis.,Calcinosis Cutis,Cutaneous Oxalosis,Pancreatic Panniculitis,
Carbuncle,Multiple inflamed follicles with suppurative inflammation below infundibulum. Some follicles may be ruptured with surrounding foreign body reaction.,Suppurative Folliculitis,Fungal Folliculitis,Acne Vugaris,
Carcinosarcoma,"Biphasic tumor. Basaloid or squamoid cells with palisading, retraction in fibromyxoid stroma. Admixed with atypical spindle cells. Spindle cells are usually vimentin positive.",Synovial Sarcoma ,Epithelioid Sarcoma,Squamous Cell Carcinoma,Lymphoepithelioma Like Carcinoma
Castleman Disease,Scattered ill-defined lymphoid follicles with a mantle of small lymphocytes producing an onion skin appearance. Hyalinized vessels within the mantle zones. Interfollicular areas show lymphocytes and plasma cells.,Angiolymphoid Hyperplasia with Eosinophils,Reactive Lymphoid Infiltrate,Rosai-Dorfman Disease,
Cat-Scratch Disease,Stellate neutrophilic abscesses around necrobiotic foci. Warthin starry may  highlight the spirochetes (Bartonella hensale).,Deep Fungal Infection,Atypical Mycobacterial Infection,Granuloma Annulare,Tularemia
Cavernous Hemangioma,"Dilated vascular channels in lobular configuration encased in fibrous stroma, usually in deep dermis or subcutis. Smooth muscle may sometimes be seen in vascular walls.  Late stage of strawberry Hemangioma.",Angiosarcoma,Arteriovenous Hemangioma,Sinusoidal Hemangioma,Lymphangioma
Cavernous Lymphangioma,"Irregular, dilated, anastomosing lymphatic channels usually in subcutis.",Cavernous Hemangioma,Sinusoidal Hemangioma,Verrucous Hemangioma,
CD30 Positive Lymphoproliferative Disorder,"Non-epidermotropic, diffuse dermal and subcutaneous infiltrate. Composed of sheets of large, atypical CD30 + cells (>75%). EMA and ALK1 -.",Primary Cutaneous Anaplastic Large Cell Lymphoma,Pityriasis Lichenoides Et Varioliformis Et Acuta,Arthropod Bite,Reactive Lymphoid Infiltrate
CD8 Predominant Mycosis Fungoides,Histology similar to mycosis fungoides. CD8 is the predominant phenotype. Cytotoxic phenotype negative.,Adult T Cell Lymphoma,Type B Lymphomatoid Papulosis,Primary Cutaneous CD8 Aggressive Cytotoxic T Cell L ymphoma,
Cell Poor Bullous Pemphigoid,Sub-epidermal split with scant dermal infiltrate composed of lymphocytes and eosinophils. DIF-IgG and C3 at DEJ.,Cicatricial Pemphigoid,Epidermolysis Bullosa Acquisita,Porphyria Cutaneous Tarda,
Cellular Dermatofibroma,"Dermatofibroma with increased cellularity and composed of numerous rounded to fusiform cells with little intervening stroma. Moderate nuclear atypia, occasional mitosis and bizarre giant cells may be seen.",Nodular Fasciitis,Dermatofibrosarcoma Protuberans,Kaposi Sarcoma,Desmoplastic Blue Nevus
Cellular Neurothekeoma,"Poorly circumscribed nodular proliferation in dermis composed of nests and fascicles of epithelioid and spindled cells. Nodules separated by a sclerotic stroma. S100 negative, NKIC3 positive, S100A6 positive.",Melanoma,Cellular Blue Nevus,Spitz Nevus,Epithelioid Cell Histiocytoma
Cellulitis,Dermal edema with diffuse interstitial neutrophilic infiltrate. Epidermis may show ulceration. Bacteria may be seen in some cases within the dermal infiltrate.,Erysipelas,Necrotizing Fasciitis,Atypical Mycobacterial Infection,Sweet's Syndrome
Central Centrifugal Cicatricial Alopecia,Permanent alopecia with hyalinization of dermis. Perifollicular lymphocytic infiltrate involving lower infundibulum and isthmus. Concentric lamellar fibroplasia. Eccentric epithelial atrophy with hair shafts appearing in close approximation of dermis. Hair shaft granulomas within fibrous tract remnants. Premature desquamation of inner root sheath in the lower half of the follicle. Occasional fusion of infundibula(polytrichia). Preserved elastic sheath surrounding widened fibrous tracts with increased dermal elastic fibers. ,Pseudopelade,Lichen Planopilaris,Lupus Associated Alopecia,Folliculitis Decalvans
Chanarin-Dorfman Syndrome,"Neutral lipid storage disease with ichthyosis. Hyperkeratosis with patchy parakeratosis and focal spongiosis. Mild superficial perivascular lymphocytic infiltrate. Numerous lipid laden vacuoles in circulating granulocytes, eosinophils and monocytes.",Nonbullous Congenital Ichthysiform Erythroderma,Lamellar Ichthyosis,Ichthyosis Vulgaris ,
Chancroid,Ulcer with fibrin and neutrophils in base. Underlying granulation tissue with the deepest layers showing dense infiltrate of plasma cells and neutrophils. Coccobacilli may be seen within the topmost neutrophilic zone.,Syphilitic Chancre,Herpes,Lymphogranuloma Venerum,Granuloma Inguinale
Chlorpromazine,"Variable degree of basal hyperpigmentation. Dermal melanophages, predominantly in a perivascular fashion. Positive for melanin, negative for iron.",Imipramine,Antimalarials,Argyria,Chrysiasis
Cholangiocarcinoma,"Glandular elements in dermis showing tubular and/or papillary structures with a variable fibrous stroma.Significant atypia is usually seen. Cells are CK7, CEA, and CA19.9 positive.  Typically keratin 20 negative.",Colon Adenocarcinoma,Pancreatic Adenocarcinoma,Ovarian Adenocarcinoma,Hepatocellular Carcinoma
Cholesterol Embolism,Emboli with needle-shaped clefts in small vessel lumens associated with amorphous eosinophilic material and a foreign body response. Intimal fibrosis and obliteration of lumina.,"Cryoglobulinemia, Type 1",Thrombotic Thrombocytopenic Purpura,Antiphospholipid Syndrome,
Chondrodermatitis Nodularis Helicis,"Focal ulceration of epidermis with surrounding acanthosis. Granulation tissue, fibrosis in dermis below the ulceration. Cartilage if seen, may show degenerative changes. Sometimes transepidermal elimination of cartilage is noted.",Squamous Cell Carcinoma,Hypertrophic Actinic Keratosis,Prurigo Nodule,
Chondroid Syringoma,Well circumscribed biphasic tumor with admixed epithelial and mesenchymal components. Epithelial component composed of branching glands lined by two layers of epithelial cells or small ducts lined by a single layer of epithelial cells. Mesenchymal component shows a myxoid/chondroid stroma.,Malignant Mixed Tumor,Chondroma,Hidradenoma,Nodular Basal Cell Carcinoma
Chondroma,Well circumscribed expansile tumor composed of grouped chondrocytes in a cartilaginous matrix. No atypia.,Subungal Osteochondroma,Fibroosseous Pseudo-Tumor Of Digits,Chondroid Syringoma,Tumoral Calcinosis
Chordoma,"Multinodular lesion composed of cords, trabeculae or solid sheets of tumor cells in a myxoid background. Tumor cells are epithelioid with small nucleus, mild nuclear pleomorphism. Admixed large vaculaoted cells (physaliferous cells). Positive for keratins, EMA and vimentin.  Parachordomas may look similar or overlap with myoepitheliomas.",Chondroid Syringoma,Extraskeletal Chondrosarcoma,Chondroma,
Chromoblastomycosis,"Granulomatous and suppurative inflammation with overlying pseudoepitheliomatous hyperplasia. Round-shaped Medlar bodies, 6-10 microns in clusters or chains. ",Phaeohyphomycosis,Deep Fungal Infection,Atypical Mycobacterial Infection,Pyoderma Gangrenosum
Chronic Bullous Dermatitis Of Childhood,Supepidermal blister formation with papillary dermal edema. Linearly aligned neutrophils along DEJ. Superficial perivascular and interstitial neutrophilic infiltrate with admixed eosinophils and lymphocytes may be seen. DIF- Linear IgA at DEJ.,Erythema Multiforme,Pemphigus Vulgaris,Bullous Pemphigoid,Dermatitis Herpetiformis
Chronic Lymphocytic Leukemia,"Dense patchy and deep perivascular infiltrate of monotonous small round to slightly irregular lymphocytes with scant cytoplasm. Admixed plasma cells and plasmacytoid cells present. CD20 weak, CD5, CD23+, CD43+, Cyclin D1-.",Borrelial Lymphocytoma,"Primary Cutaneous Follicular Center Cell Lymphoma, Follicular Type",Primary Cutaneous Marginal Zone B Cell Lymphoma,Reactive Lymphoid Infiltrate
Chronic Superficial Dermatitis,Focal spongiosis and acanthosis with confluent parakeratosis. Superficial sparse perivascular lymphocytic infiltrate. ,Sub-acute-Chronic Eczematous Dermatitis,Dermatophytosis,Pityriasis Lichenoides Chronica,Viral Exanthem
Chrysiasis,Small round to oval black refractile particles in vascular endothelia and dermal phagocytes.,Argyria,Clofazimine Induced Pigmentation,Imipramine,Antimalarials
Churg-Strauss Syndrome,Epidermis may be normal or ulcerated. LCV with numerous eosinophils and associated granulomatous inflammation often palisading around degenerating collagen fibers.,Wegener's Granulomatosis,Polyarteritis Nodosa,Wells Syndrome,Arthropod Bite
Cicatricial Pemphigoid,Lesions of BP with mucosal involvement. Subepidermal blister with neutrophils and eosinophils. +/- Submucosal fibrosis. Perivascular mixed inflammatory infiltrate.  DIF-Linear deposits of IgG along BMZ.,Bullous Pemphigoid,Linear IgA Bullous Dermatosis,Epidermolysis Bullosa Acquisita,
Classic Pseudopelade,Permanent alopecia. Variable perifollicular lymphocytic infiltrate around broad tree trunk like fibrous tracts in a hyalinized dermis. Loss of sebaceous glands and follicles. Preserved elastic sheath surrounding fibrous tracts and increased thickened elastic fibers.  In advanced cases-complete destruction of follicular epithelium; retained hair shafts surrounded by granulomatous inflammation.,Central Centrifugal Cicatricial Alopecia,Lupus Associated Alopecia,Lichen Planopilaris,Syphilitic Alopecia
Clear Cell Acanthoma,"Well-demarcated, acanthotic epidermis with clear/pale cells showing distinct transition from surrounding normal keratinocytes. Overlying parakeratosis. Scattered neutrophils.",Psoriasis,Seborrheic Keratosis,Hidroacanthoma Simplex,
Clofazimine Induced Pigmentation,"Pigment in dermal macrophages, fibroblasts, vascular endothelial cells and dermal dendrocytes. Basal layer hyperpigmentation.",Minocycline Induced Pigmentation,Antimalarials,Imipramine,
Coccidioidomycosis,Background of granulomatous and suppurative dermatitis. Overlying pseudoepithelimatous hyperplasia with intraepidermal pustules. Uniform shaped sporangia (10-80 microns) with multiple endospores(1-4 microns) present both extracellularly and within giant cells.,Blastomycosis,Paracoccidioidomycosis,Pemphigus Vegetans,Tuberculosis Verrucosa Cutis
Cold Panniculitis,"Lobular panniculitis, more intense in superficial lobules than deep lobules. Perivascular and periadnexal lymphocytic infiltrate with variable fat necrosis. Cystic spaces in subcutaneous fat due to ruptured fat cells.",Post-Steriod Panniculitis,Factitial Panniculitis,Infective Panniculitis,
Collagenoma,Thickened sclerotic collagen bundles in interwoven pattern. No inflammation or increased vascularity.,Connective Tissue Nevus,Scar,Morphea,Scleredema
Collagenous And Elastotic Plaques Of Hands,Increased number of thick collagen bundles arranged haphazardly throughout the dermis with some running perpendicular to the surface. Admixed solar elastotic fibers.,Acrokeratoelastoidosis,Punctate Palmarplantar Keratoderma,Solar Elastosis,
Collagenous Fibroblastoma,"Also known as Desmoplastic Fibroblastoma. Hypocellular lesion composed of widely spaced spindle to stellate fibroblasts in a collagenous or myxoid stroma.  Blood vessels mainly inconspicuous, some hyalinzed. Infiltration into subcutaneous fat or muscle can occur.",Nodular Fasciitis,Low-Grade Fibromyxoid Sarcoma,Solitary Fibrous Tumor,Neurofibroma
Colorectal Adenocarcinoma,"Glandular elements in dermis with atypical cells and neutrophilic abscesses within lumen. Staining  with CK20, CDX2 and Villin. CK7 negative in colonic carcinoma, but rectal carcinomas can stain CD7 +, CD20 negative.",Pancreatic Adenocarcinoma,Syringoid Eccrine Carcinoma,Endometrial Carcinoma,Metastatic Adnexal Neoplasm
Coma Blister,Subepidermal blister. Necrosis of eccrine glands and occasionally of pilosebaceous structures. Mild perivascular and interstitial infiltrate of lymphocytes and neutrophils. ,Neutrophilic Eccrine Hidradenitis,Friction Blister,Bullous Diabeticorum,
